client_id,data_size,training_rounds,total_training_time,avg_time_per_round,final_accuracy,final_loss,class_0,class_1,class_2,class_3,class_4,class_5,class_6,class_7,class_8,class_9,method,dataset,total_rounds,local_epochs,iid
0,1171,20,63.92,3.2,0.9983,0.0085,6,215,0,133,88,153,49,183,326,18,fedavg,mnist,20,5,False
1,3099,20,162.67,8.13,0.9961,0.0126,69,128,181,229,566,782,8,156,978,2,fedavg,mnist,20,5,False
2,1647,20,87.99,4.4,0.9957,0.0148,170,147,915,59,49,97,11,41,42,116,fedavg,mnist,20,5,False
3,5462,20,274.5,13.73,0.9958,0.0122,328,4,160,5,1188,380,1209,61,1725,402,fedavg,mnist,20,5,False
4,4965,20,250.04,12.5,0.9942,0.0129,129,350,1253,1333,451,4,227,1151,66,1,fedavg,mnist,20,5,False
5,2992,20,153.59,7.68,0.9987,0.0045,900,227,25,98,11,981,673,29,32,16,fedavg,mnist,20,5,False
6,1203,20,63.09,3.15,0.9983,0.0064,313,70,16,76,21,45,24,474,122,42,fedavg,mnist,20,5,False
7,3981,20,200.07,10.0,0.9975,0.0082,805,1205,375,8,648,290,214,287,4,145,fedavg,mnist,20,5,False
8,2275,20,119.78,5.99,0.9991,0.0054,928,11,562,30,49,65,23,19,157,431,fedavg,mnist,20,5,False
9,3627,20,187.39,9.37,0.9959,0.0155,744,232,306,9,36,96,29,1584,19,572,fedavg,mnist,20,5,False
10,2980,20,159.04,7.95,0.9923,0.0183,151,46,204,509,521,343,61,122,663,360,fedavg,mnist,20,5,False
11,4715,20,254.16,12.71,0.9964,0.01,259,1394,350,1318,13,8,900,132,315,26,fedavg,mnist,20,5,False
12,2895,20,156.01,7.8,0.999,0.0028,42,1029,348,348,29,2,824,1,1,271,fedavg,mnist,20,5,False
13,1866,20,102.81,5.14,0.9957,0.0146,293,438,483,40,98,60,201,64,2,187,fedavg,mnist,20,5,False
14,1818,20,100.69,5.03,0.9967,0.0126,3,9,210,221,570,235,102,308,19,141,fedavg,mnist,20,5,False
15,4883,20,264.58,13.23,0.9955,0.015,672,134,157,515,273,78,224,14,408,2408,fedavg,mnist,20,5,False
16,5289,20,283.84,14.19,0.9953,0.0138,45,7,0,139,469,613,1117,1477,961,461,fedavg,mnist,20,5,False
17,2120,20,118.37,5.92,0.9958,0.0117,6,355,279,284,700,419,1,10,0,66,fedavg,mnist,20,5,False
18,1563,20,89.09,4.45,0.9974,0.0066,24,363,102,705,34,75,2,32,5,221,fedavg,mnist,20,5,False
19,1449,20,81.19,4.06,0.9986,0.0048,36,378,32,72,28,695,19,120,6,63,fedavg,mnist,20,5,False
