client_id,data_size,training_rounds,total_training_time,avg_time_per_round,final_accuracy,final_loss,class_0,class_1,class_2,class_3,class_4,class_5,class_6,class_7,class_8,class_9,method,dataset,total_rounds,local_epochs,iid
0,1068,50,105.59,2.11,0.9991,0.0065,3,171,36,60,229,3,80,277,2,207,anticlustering,mnist,50,5,False
1,796,50,67.45,1.35,0.9987,0.0026,40,33,138,2,60,26,215,49,4,229,anticlustering,mnist,50,5,False
2,2801,50,218.26,4.37,0.9964,0.0105,99,1025,290,410,336,94,86,58,75,328,anticlustering,mnist,50,5,False
3,1696,50,114.26,2.29,1.0,0.0009,190,757,46,7,480,11,1,190,7,7,anticlustering,mnist,50,5,False
4,2106,50,162.09,3.24,0.9972,0.0066,75,322,22,102,1,9,296,412,361,506,anticlustering,mnist,50,5,False
5,2845,50,213.32,4.27,0.9968,0.0098,523,7,1,824,92,2,25,1169,197,5,anticlustering,mnist,50,5,False
6,1806,50,140.34,2.81,0.9956,0.0087,182,98,123,22,492,40,275,65,327,182,anticlustering,mnist,50,5,False
7,3013,50,232.28,4.65,0.996,0.008,467,5,29,502,743,173,221,74,681,118,anticlustering,mnist,50,5,False
8,2983,0,0.0,0.0,0.0,0.0,539,261,320,640,150,287,220,188,372,6,anticlustering,mnist,50,5,False
9,2284,50,174.22,3.48,0.9991,0.0022,432,267,968,28,1,1,10,98,441,38,anticlustering,mnist,50,5,False
10,1705,50,135.18,2.7,0.9947,0.0228,88,278,183,519,3,99,58,322,101,54,anticlustering,mnist,50,5,False
11,3442,50,258.81,5.18,0.9971,0.0097,150,916,698,8,27,1168,85,227,163,0,anticlustering,mnist,50,5,False
12,2072,0,0.0,0.0,0.0,0.0,25,97,131,68,144,415,341,468,7,376,anticlustering,mnist,50,5,False
13,957,50,78.2,1.56,0.999,0.0029,170,205,37,16,37,90,168,60,23,151,anticlustering,mnist,50,5,False
14,1802,50,145.08,2.9,0.9994,0.0038,1,45,0,274,55,259,448,20,21,679,anticlustering,mnist,50,5,False
15,1332,50,106.85,2.14,0.9947,0.0145,391,51,108,1,109,273,57,200,128,14,anticlustering,mnist,50,5,False
16,744,50,66.69,1.33,1.0,0.0026,26,13,92,63,176,71,28,257,0,18,anticlustering,mnist,50,5,False
17,508,50,45.16,0.9,0.998,0.006,3,8,102,8,3,37,92,84,56,115,anticlustering,mnist,50,5,False
18,3362,50,261.14,5.22,0.9982,0.0063,14,123,441,11,157,119,1406,3,867,221,anticlustering,mnist,50,5,False
19,986,0,0.0,0.0,0.0,0.0,21,205,69,22,52,191,50,84,235,57,anticlustering,mnist,50,5,False
20,1060,50,88.54,1.77,0.9972,0.0115,1,1,3,380,26,74,41,119,98,317,anticlustering,mnist,50,5,False
21,1791,50,140.16,2.8,0.9978,0.0132,134,38,84,820,120,1,9,223,276,86,anticlustering,mnist,50,5,False
22,1589,50,127.26,2.55,0.9994,0.0046,74,40,340,16,116,189,5,0,66,743,anticlustering,mnist,50,5,False
23,3859,50,298.89,5.98,0.9979,0.0092,11,130,724,584,858,0,380,977,179,16,anticlustering,mnist,50,5,False
24,1678,50,132.74,2.65,0.9964,0.0106,2,69,111,125,311,610,50,33,248,119,anticlustering,mnist,50,5,False
25,851,0,0.0,0.0,0.0,0.0,172,54,0,5,167,90,155,107,69,32,anticlustering,mnist,50,5,False
26,1872,50,143.54,2.87,0.9963,0.0097,741,3,45,229,37,188,302,47,187,93,anticlustering,mnist,50,5,False
27,3742,50,279.6,5.59,0.9984,0.0061,5,1201,23,360,169,836,17,37,277,817,anticlustering,mnist,50,5,False
28,1534,50,119.73,2.39,0.9987,0.0055,17,3,21,6,517,63,442,11,104,350,anticlustering,mnist,50,5,False
29,3716,50,281.28,5.63,0.9968,0.0089,1327,316,773,19,174,2,355,406,279,65,anticlustering,mnist,50,5,False
