Hierarchical Aggregation Results: CIFAR10
Method: agglomerative
Configuration: 50 clients
client_selection_ratio: 90%
Data Distribution: False iid
Training: 5 local_epochs
Training: 100 rounds
Model: 64 batch_size
Timestamp: 2025-10-12T19:48:19.035816
============================================================

RÉSULTATS FINAUX:
------------------------------
Final Accuracy: 0.666600
Total Training Time: 4736.51s
Average Time per Round: 47.37s
Total Communication Cost: 9600
Convergence Rounds: 100

HISTORIQUE DÉTAILLÉ:
------------------------------
Round  1: Accuracy=0.100000, Time=399.38s, Comm=96
Round  2: Accuracy=0.100000, Time=43.45s, Comm=96
Round  3: Accuracy=0.100000, Time=43.37s, Comm=96
Round  4: Accuracy=0.100000, Time=43.33s, Comm=96
Round  5: Accuracy=0.100000, Time=43.33s, Comm=96
Round  6: Accuracy=0.119800, Time=43.38s, Comm=96
Round  7: Accuracy=0.209300, Time=43.47s, Comm=96
Round  8: Accuracy=0.247000, Time=43.55s, Comm=96
Round  9: Accuracy=0.301800, Time=43.60s, Comm=96
Round 10: Accuracy=0.362000, Time=43.50s, Comm=96
Round 11: Accuracy=0.391400, Time=45.51s, Comm=96
Round 12: Accuracy=0.433000, Time=43.92s, Comm=96
Round 13: Accuracy=0.459900, Time=43.74s, Comm=96
Round 14: Accuracy=0.505300, Time=43.82s, Comm=96
Round 15: Accuracy=0.490300, Time=43.83s, Comm=96
Round 16: Accuracy=0.530100, Time=43.69s, Comm=96
Round 17: Accuracy=0.511500, Time=43.70s, Comm=96
Round 18: Accuracy=0.551700, Time=43.92s, Comm=96
Round 19: Accuracy=0.533200, Time=43.67s, Comm=96
Round 20: Accuracy=0.579700, Time=43.86s, Comm=96
Round 21: Accuracy=0.563900, Time=43.59s, Comm=96
Round 22: Accuracy=0.582600, Time=43.70s, Comm=96
Round 23: Accuracy=0.583000, Time=43.89s, Comm=96
Round 24: Accuracy=0.595000, Time=43.82s, Comm=96
Round 25: Accuracy=0.589300, Time=43.88s, Comm=96
Round 26: Accuracy=0.610200, Time=43.81s, Comm=96
Round 27: Accuracy=0.605200, Time=43.70s, Comm=96
Round 28: Accuracy=0.607700, Time=43.69s, Comm=96
Round 29: Accuracy=0.610600, Time=43.92s, Comm=96
Round 30: Accuracy=0.629300, Time=43.75s, Comm=96
Round 31: Accuracy=0.623200, Time=43.78s, Comm=96
Round 32: Accuracy=0.621200, Time=43.79s, Comm=96
