Hierarchical Aggregation Results: CIFAR10
Method: agglomerative
Configuration: 50 clients
client_selection_ratio: 30%
Data Distribution: False iid
Training: 5 local_epochs
Training: 100 rounds
Model: 64 batch_size
Timestamp: 2025-10-12T07:14:55.807933
============================================================

RÉSULTATS FINAUX:
------------------------------
Final Accuracy: 0.516000
Total Training Time: 1783.66s
Average Time per Round: 17.84s
Total Communication Cost: 4200
Convergence Rounds: 100

HISTORIQUE DÉTAILLÉ:
------------------------------
Round  1: Accuracy=0.100000, Time=148.02s, Comm=42
Round  2: Accuracy=0.100000, Time=16.39s, Comm=42
Round  3: Accuracy=0.115500, Time=16.37s, Comm=42
Round  4: Accuracy=0.103600, Time=16.41s, Comm=42
Round  5: Accuracy=0.105100, Time=16.39s, Comm=42
Round  6: Accuracy=0.138800, Time=16.38s, Comm=42
Round  7: Accuracy=0.146000, Time=16.44s, Comm=42
Round  8: Accuracy=0.253900, Time=16.50s, Comm=42
Round  9: Accuracy=0.302500, Time=16.47s, Comm=42
Round 10: Accuracy=0.363700, Time=16.51s, Comm=42
Round 11: Accuracy=0.344800, Time=16.39s, Comm=42
Round 12: Accuracy=0.401500, Time=16.47s, Comm=42
Round 13: Accuracy=0.408500, Time=16.47s, Comm=42
Round 14: Accuracy=0.428100, Time=16.36s, Comm=42
Round 15: Accuracy=0.446000, Time=16.45s, Comm=42
Round 16: Accuracy=0.458100, Time=16.48s, Comm=42
Round 17: Accuracy=0.451000, Time=16.44s, Comm=42
Round 18: Accuracy=0.470300, Time=16.48s, Comm=42
Round 19: Accuracy=0.460600, Time=16.58s, Comm=42
Round 20: Accuracy=0.475000, Time=16.41s, Comm=42
Round 21: Accuracy=0.468700, Time=16.50s, Comm=42
Round 22: Accuracy=0.479400, Time=16.42s, Comm=42
Round 23: Accuracy=0.492200, Time=16.42s, Comm=42
Round 24: Accuracy=0.472700, Time=17.12s, Comm=42
Round 25: Accuracy=0.494000, Time=16.62s, Comm=42
Round 26: Accuracy=0.486600, Time=16.52s, Comm=42
Round 27: Accuracy=0.493100, Time=16.59s, Comm=42
Round 28: Accuracy=0.493300, Time=16.60s, Comm=42
Round 29: Accuracy=0.492200, Time=16.55s, Comm=42
Round 30: Accuracy=0.497800, Time=16.55s, Comm=42
Round 31: Accuracy=0.497700, Time=16.53s, Comm=42
Round 32: Accuracy=0.496100, Time=16.53s, Comm=42
Round 33: Accuracy=0.503800, Time=16.54s, Comm=42
Round 34: Accuracy=0.488600, Time=16.55s, Comm=42
Round 35: Accuracy=0.497300, Time=16.55s, Comm=42
Round 36: Accuracy=0.504000, Time=16.56s, Comm=42
Round 37: Accuracy=0.515000, Time=16.61s, Comm=42
Round 38: Accuracy=0.502200, Time=16.58s, Comm=42
Round 39: Accuracy=0.507000, Time=16.55s, Comm=42
Round 40: Accuracy=0.506100, Time=16.55s, Comm=42
Round 41: Accuracy=0.508600, Time=16.56s, Comm=42
Round 42: Accuracy=0.503300, Time=16.56s, Comm=42
Round 43: Accuracy=0.514500, Time=16.55s, Comm=42
Round 44: Accuracy=0.523400, Time=16.54s, Comm=42
Round 45: Accuracy=0.521300, Time=16.52s, Comm=42
Round 46: Accuracy=0.516700, Time=16.53s, Comm=42
Round 47: Accuracy=0.521400, Time=16.59s, Comm=42
Round 48: Accuracy=0.524000, Time=16.55s, Comm=42
Round 49: Accuracy=0.524200, Time=16.54s, Comm=42
