client_id,data_size,training_rounds,total_training_time,avg_time_per_round,final_accuracy,final_loss,class_0,class_1,class_2,class_3,class_4,class_5,class_6,class_7,class_8,class_9,experiment_type,dataset,total_rounds,local_epochs,iid
0,1000,100,106.66,1.07,0.955,0.255,53,252,9,1,143,0,424,12,35,71,agglomerative,cifar10,100,5,False
1,1000,100,102.95,1.03,0.965,0.2534,105,128,58,7,0,230,46,5,347,74,agglomerative,cifar10,100,5,False
2,1000,100,102.69,1.03,0.937,0.5404,16,415,72,75,9,97,102,29,22,163,agglomerative,cifar10,100,5,False
3,1000,100,102.8,1.03,0.95,0.2527,166,0,35,340,115,64,1,188,20,71,agglomerative,cifar10,100,5,False
4,1000,100,102.65,1.03,0.977,0.1716,134,301,140,33,34,13,0,12,322,11,agglomerative,cifar10,100,5,False
5,1000,100,103.27,1.03,0.946,0.4304,405,9,93,7,228,27,82,133,16,0,agglomerative,cifar10,100,5,False
6,1000,100,102.93,1.03,0.958,0.3313,423,124,17,116,22,93,63,128,8,6,agglomerative,cifar10,100,5,False
7,1000,100,102.93,1.03,0.959,0.313,9,12,208,540,1,29,112,63,3,23,agglomerative,cifar10,100,5,False
8,1000,100,102.58,1.03,0.924,0.6582,87,68,0,1,702,17,16,4,24,81,agglomerative,cifar10,100,5,False
9,1000,100,102.62,1.03,0.988,0.0712,129,9,70,65,19,301,25,363,1,18,agglomerative,cifar10,100,5,False
10,1000,100,102.6,1.03,0.981,0.1068,0,117,41,143,387,10,93,26,164,19,agglomerative,cifar10,100,5,False
11,1000,100,102.59,1.03,0.962,0.26,384,237,145,78,2,8,41,87,0,18,agglomerative,cifar10,100,5,False
12,1000,100,102.77,1.03,0.893,0.8704,1,6,426,1,294,167,0,40,13,52,agglomerative,cifar10,100,5,False
13,1000,100,102.54,1.03,0.984,0.1208,7,70,2,22,66,13,78,38,368,336,agglomerative,cifar10,100,5,False
14,1000,100,102.56,1.03,0.965,0.257,180,20,31,306,207,199,34,1,0,22,agglomerative,cifar10,100,5,False
15,1000,100,102.52,1.03,0.973,0.1409,266,70,10,38,190,50,42,200,97,37,agglomerative,cifar10,100,5,False
16,1000,100,102.35,1.02,0.963,0.2733,44,367,51,8,8,352,35,122,1,12,agglomerative,cifar10,100,5,False
17,1000,100,102.68,1.03,0.979,0.1432,161,96,1,17,0,81,28,10,351,255,agglomerative,cifar10,100,5,False
18,1000,100,102.83,1.03,0.961,0.2232,21,12,57,466,145,0,266,1,0,32,agglomerative,cifar10,100,5,False
19,1000,100,102.72,1.03,0.957,0.248,42,36,205,0,43,40,455,3,106,70,agglomerative,cifar10,100,5,False
20,1000,100,103.67,1.04,0.952,0.277,67,59,3,94,19,356,262,45,3,92,agglomerative,cifar10,100,5,False
21,1000,100,102.54,1.03,0.963,0.2215,6,28,0,65,8,67,244,504,0,78,agglomerative,cifar10,100,5,False
22,1000,100,102.62,1.03,0.942,0.4088,18,324,80,246,3,3,46,62,94,124,agglomerative,cifar10,100,5,False
23,1000,100,102.58,1.03,0.953,0.3579,294,176,1,85,85,77,2,159,121,0,agglomerative,cifar10,100,5,False
24,1000,100,102.97,1.03,0.983,0.0736,81,154,101,147,0,19,23,240,234,1,agglomerative,cifar10,100,5,False
25,1000,100,102.58,1.03,0.957,0.4178,0,133,0,487,0,10,168,150,52,0,agglomerative,cifar10,100,5,False
26,1000,100,103.78,1.04,0.944,0.4795,442,13,8,63,105,97,88,136,35,13,agglomerative,cifar10,100,5,False
27,1000,100,102.49,1.02,0.946,0.4007,504,105,0,116,21,69,66,70,27,22,agglomerative,cifar10,100,5,False
28,1000,100,102.46,1.02,0.981,0.0988,225,95,20,79,166,18,1,0,120,276,agglomerative,cifar10,100,5,False
29,1000,100,103.26,1.03,0.936,0.4115,535,113,15,33,51,3,17,5,115,113,agglomerative,cifar10,100,5,False
30,1000,0,0.0,0.0,0.0,0.0,27,29,662,0,28,3,38,86,66,61,agglomerative,cifar10,100,5,False
31,1000,0,0.0,0.0,0.0,0.0,64,1,0,160,440,85,55,50,143,2,agglomerative,cifar10,100,5,False
32,1000,100,102.6,1.03,0.961,0.2999,104,347,78,51,74,16,177,10,108,35,agglomerative,cifar10,100,5,False
33,1000,100,102.38,1.02,0.965,0.2661,0,23,78,209,239,31,30,33,141,216,agglomerative,cifar10,100,5,False
