Hierarchical Aggregation Results: CIFAR10
Method: agglomerative
Configuration: 50 clients
client_selection_ratio: 10%
Data Distribution: False iid
Training: 5 local_epochs
Training: 100 rounds
Model: 64 batch_size
Timestamp: 2025-10-12T22:03:37.928297
============================================================

RÉSULTATS FINAUX:
------------------------------
Final Accuracy: 0.393400
Total Training Time: 910.46s
Average Time per Round: 9.10s
Total Communication Cost: 2600
Convergence Rounds: 100

HISTORIQUE DÉTAILLÉ:
------------------------------
Round  1: Accuracy=0.100000, Time=73.28s, Comm=26
Round  2: Accuracy=0.100000, Time=8.49s, Comm=26
Round  3: Accuracy=0.100000, Time=8.53s, Comm=26
Round  4: Accuracy=0.100600, Time=8.45s, Comm=26
Round  5: Accuracy=0.102900, Time=8.50s, Comm=26
Round  6: Accuracy=0.151500, Time=8.41s, Comm=26
Round  7: Accuracy=0.204900, Time=8.38s, Comm=26
Round  8: Accuracy=0.213300, Time=8.45s, Comm=26
Round  9: Accuracy=0.235000, Time=8.39s, Comm=26
Round 10: Accuracy=0.273800, Time=8.46s, Comm=26
Round 11: Accuracy=0.232700, Time=8.39s, Comm=26
Round 12: Accuracy=0.336900, Time=8.51s, Comm=26
Round 13: Accuracy=0.248400, Time=8.43s, Comm=26
Round 14: Accuracy=0.321300, Time=8.40s, Comm=26
Round 15: Accuracy=0.298300, Time=8.50s, Comm=26
Round 16: Accuracy=0.345500, Time=8.44s, Comm=26
Round 17: Accuracy=0.294400, Time=8.50s, Comm=26
Round 18: Accuracy=0.360700, Time=8.43s, Comm=26
Round 19: Accuracy=0.308300, Time=8.46s, Comm=26
Round 20: Accuracy=0.372500, Time=8.42s, Comm=26
Round 21: Accuracy=0.333100, Time=8.50s, Comm=26
Round 22: Accuracy=0.378700, Time=8.46s, Comm=26
Round 23: Accuracy=0.349500, Time=8.44s, Comm=26
Round 24: Accuracy=0.371100, Time=8.49s, Comm=26
Round 25: Accuracy=0.369700, Time=8.41s, Comm=26
Round 26: Accuracy=0.379100, Time=8.48s, Comm=26
Round 27: Accuracy=0.385000, Time=8.39s, Comm=26
Round 28: Accuracy=0.351600, Time=8.47s, Comm=26
Round 29: Accuracy=0.386400, Time=8.33s, Comm=26
Round 30: Accuracy=0.375300, Time=8.51s, Comm=26
Round 31: Accuracy=0.376200, Time=8.40s, Comm=26
Round 32: Accuracy=0.355900, Time=8.44s, Comm=26
Round 33: Accuracy=0.380600, Time=8.43s, Comm=26
Round 34: Accuracy=0.377200, Time=8.46s, Comm=26
Round 35: Accuracy=0.393100, Time=8.46s, Comm=26
Round 36: Accuracy=0.376100, Time=8.43s, Comm=26
Round 37: Accuracy=0.386800, Time=8.48s, Comm=26
