client_id,data_size,training_rounds,total_training_time,avg_time_per_round,final_accuracy,final_loss,class_0,class_1,class_2,class_3,class_4,class_5,class_6,class_7,class_8,class_9,experiment_type,dataset,total_rounds,local_epochs,iid
0,12500,2,139.69,69.85,0.748,1.0075,698,3167,148,50,1818,34,5000,192,475,918,vanilla,cifar10,2,5,False
1,12500,2,114.87,57.44,0.7213,0.8981,222,980,314,661,390,4966,0,707,3709,551,vanilla,cifar10,2,5,False
2,12500,2,114.82,57.41,0.6701,0.9406,2354,853,1186,1815,1331,0,0,1198,232,3531,vanilla,cifar10,2,5,False
3,12500,2,116.6,58.3,0.6714,0.9059,1726,0,3352,2474,1461,0,0,2903,584,0,vanilla,cifar10,2,5,False
