client_id,data_size,training_rounds,total_training_time,avg_time_per_round,final_accuracy,final_loss,class_0,class_1,class_2,class_3,class_4,class_5,class_6,class_7,class_8,class_9,experiment_type,dataset,total_rounds,local_epochs,iid
0,2000,30,75.22,2.51,0.964,0.1651,107,504,18,2,287,0,845,25,70,142,hierarchical,mnist,30,5,False
1,2000,30,64.19,2.14,0.992,0.0433,764,522,101,26,15,4,338,137,17,76,hierarchical,mnist,30,5,False
2,2000,30,62.22,2.07,0.9805,0.0865,68,21,87,915,125,2,428,218,81,55,hierarchical,mnist,30,5,False
3,2000,30,57.66,1.92,0.9995,0.0013,218,279,118,168,177,167,11,9,181,672,hierarchical,mnist,30,5,False
4,2000,30,58.73,1.96,0.9965,0.0166,4,78,58,2,25,301,306,61,863,302,hierarchical,mnist,30,5,False
5,2000,30,64.33,2.14,0.999,0.0063,669,266,183,176,215,87,1,45,0,358,hierarchical,mnist,30,5,False
6,2000,30,63.89,2.13,0.985,0.0731,298,166,23,22,102,1044,64,94,184,3,hierarchical,mnist,30,5,False
7,2000,30,64.59,2.15,0.9645,0.1186,58,395,268,36,27,93,192,566,225,140,hierarchical,mnist,30,5,False
8,2000,30,59.29,1.98,0.995,0.0155,43,243,31,122,0,79,47,258,935,242,hierarchical,mnist,30,5,False
9,2000,30,62.67,2.09,0.9695,0.1185,22,29,260,16,247,864,5,396,161,0,hierarchical,mnist,30,5,False
10,2000,30,62.0,2.07,0.999,0.0046,65,2,2,86,117,363,201,387,349,428,hierarchical,mnist,30,5,False
11,2000,30,64.9,2.16,0.998,0.009,25,22,228,323,96,94,6,125,585,496,hierarchical,mnist,30,5,False
12,2000,30,63.77,2.13,0.994,0.0384,339,97,468,129,118,419,0,202,227,1,hierarchical,mnist,30,5,False
13,2000,30,61.24,2.04,0.997,0.0096,283,54,10,271,101,244,30,457,466,84,hierarchical,mnist,30,5,False
14,2000,30,66.16,2.21,0.9995,0.0039,0,85,9,11,139,5,15,783,86,867,hierarchical,mnist,30,5,False
15,2000,30,63.52,2.12,0.992,0.0403,36,30,7,49,53,1272,4,502,30,17,hierarchical,mnist,30,5,False
16,2000,30,64.41,2.15,0.9885,0.0556,5,1,625,1003,3,36,52,194,0,81,hierarchical,mnist,30,5,False
17,2000,30,62.62,2.09,0.9445,0.2327,751,4,218,35,0,17,63,171,592,149,hierarchical,mnist,30,5,False
18,2000,30,61.66,2.06,0.998,0.0113,93,8,33,105,206,35,481,462,241,336,hierarchical,mnist,30,5,False
19,2000,30,62.54,2.08,0.9935,0.0314,337,5,1130,34,51,27,162,21,192,41,hierarchical,mnist,30,5,False
20,2000,30,63.34,2.11,0.9985,0.0055,45,124,334,103,429,268,278,64,11,344,hierarchical,mnist,30,5,False
21,2000,30,61.76,2.06,0.9945,0.0245,797,176,211,436,57,0,110,91,42,80,hierarchical,mnist,30,5,False
22,2000,30,61.54,2.05,0.997,0.0177,68,738,70,112,41,0,196,251,123,401,hierarchical,mnist,30,5,False
23,2000,30,65.05,2.17,1.0,0.0003,229,267,330,325,239,0,261,228,37,84,hierarchical,mnist,30,5,False
24,2000,30,608.92,20.3,0.966,0.1368,27,620,1,602,86,0,95,321,131,117,hierarchical,mnist,30,5,False
25,2000,30,63.57,2.12,0.968,0.1868,193,28,8,24,1097,0,367,197,22,64,hierarchical,mnist,30,5,False
26,2000,30,63.11,2.1,0.999,0.0046,379,304,182,197,562,0,244,0,0,132,hierarchical,mnist,30,5,False
27,2000,30,60.96,2.03,0.998,0.0074,0,408,280,230,526,0,319,0,0,237,hierarchical,mnist,30,5,False
28,2000,30,63.26,2.11,1.0,0.0,0,630,312,460,205,0,393,0,0,0,hierarchical,mnist,30,5,False
29,2000,30,59.23,1.97,1.0,0.0001,0,636,353,111,496,0,404,0,0,0,hierarchical,mnist,30,5,False
