client_id,data_size,training_rounds,total_training_time,avg_time_per_round,final_accuracy,final_loss,class_0,class_1,class_2,class_3,class_4,class_5,class_6,class_7,class_8,class_9,experiment_type,dataset,total_rounds,local_epochs,iid
0,3000,10,47.71,4.77,0.9543,0.1799,161,757,27,3,431,0,1264,37,106,214,cyclic-agglomerative,mnist,10,5,False
1,3000,10,32.91,3.29,0.989,0.039,1144,783,151,39,22,7,508,205,26,115,cyclic-agglomerative,mnist,10,5,False
2,3000,10,33.99,3.4,0.997,0.011,309,586,149,6,127,579,204,206,410,424,cyclic-agglomerative,mnist,10,5,False
3,3000,10,30.58,3.06,0.992,0.03,531,18,77,709,794,41,91,332,5,402,cyclic-agglomerative,mnist,10,5,False
4,3000,10,31.23,3.12,0.972,0.1183,512,24,288,355,379,111,854,337,72,68,cyclic-agglomerative,mnist,10,5,False
5,3000,10,30.87,3.09,0.9993,0.0021,287,288,2,121,217,102,4,597,80,1302,cyclic-agglomerative,mnist,10,5,False
6,3000,10,30.28,3.03,0.9987,0.0064,99,205,35,365,174,24,489,34,950,625,cyclic-agglomerative,mnist,10,5,False
7,3000,0,0.0,0.0,0.0,0.0,271,638,270,25,3,346,4,797,311,335,cyclic-agglomerative,mnist,10,5,False
8,3000,10,29.97,3.0,0.9213,0.6187,141,78,277,86,1425,402,83,242,40,226,cyclic-agglomerative,mnist,10,5,False
9,3000,10,31.34,3.13,0.9973,0.0097,326,201,8,226,391,58,777,285,721,7,cyclic-agglomerative,mnist,10,5,False
10,3000,10,30.25,3.02,0.9893,0.036,213,91,437,228,448,282,112,509,354,326,cyclic-agglomerative,mnist,10,5,False
11,3000,0,0.0,0.0,0.0,0.0,10,159,215,14,176,16,1092,458,834,26,cyclic-agglomerative,mnist,10,5,False
12,3000,10,30.29,3.03,0.9927,0.0306,653,225,50,772,14,269,436,339,51,191,cyclic-agglomerative,mnist,10,5,False
13,3000,10,30.77,3.08,0.983,0.0839,717,154,96,107,883,125,0,613,262,43,cyclic-agglomerative,mnist,10,5,False
14,3000,0,0.0,0.0,0.0,0.0,224,146,379,934,358,100,0,163,136,560,cyclic-agglomerative,mnist,10,5,False
15,3000,0,0.0,0.0,0.0,0.0,325,539,392,203,0,509,0,376,390,266,cyclic-agglomerative,mnist,10,5,False
16,3000,10,31.18,3.12,0.998,0.0091,0,863,374,231,0,304,0,199,724,305,cyclic-agglomerative,mnist,10,5,False
17,3000,10,29.96,3.0,0.9987,0.0046,0,137,610,1362,0,321,0,135,275,160,cyclic-agglomerative,mnist,10,5,False
18,3000,10,28.99,2.9,0.9993,0.002,0,215,1055,262,0,862,0,183,69,354,cyclic-agglomerative,mnist,10,5,False
19,3000,0,0.0,0.0,0.0,0.0,0,635,1066,83,0,963,0,218,35,0,cyclic-agglomerative,mnist,10,5,False
