client_id,data_size,training_rounds,total_training_time,avg_time_per_round,final_accuracy,final_loss,class_0,class_1,class_2,class_3,class_4,class_5,class_6,class_7,class_8,class_9,experiment_type,dataset,total_rounds,local_epochs,iid
0,2000,30,79.06,2.64,0.975,0.0686,107,504,18,2,287,0,845,25,70,142,vanilla,mnist,30,5,False
1,2000,30,59.21,1.97,0.972,0.1392,764,522,101,26,15,4,338,137,17,76,vanilla,mnist,30,5,False
2,2000,30,56.43,1.88,0.9655,0.1982,68,21,87,915,125,2,428,218,81,55,vanilla,mnist,30,5,False
3,2000,30,60.88,2.03,0.9895,0.0354,218,279,118,168,177,167,11,9,181,672,vanilla,mnist,30,5,False
4,2000,30,62.16,2.07,0.994,0.0209,4,78,58,2,25,301,306,61,863,302,vanilla,mnist,30,5,False
5,2000,30,64.42,2.15,0.999,0.005,669,266,183,176,215,87,1,45,0,358,vanilla,mnist,30,5,False
6,2000,30,64.71,2.16,0.985,0.0618,298,166,23,22,102,1044,64,94,184,3,vanilla,mnist,30,5,False
7,2000,30,65.16,2.17,0.9915,0.032,58,395,268,36,27,93,192,566,225,140,vanilla,mnist,30,5,False
8,2000,30,54.29,1.81,0.9975,0.0113,43,243,31,122,0,79,47,258,935,242,vanilla,mnist,30,5,False
9,2000,30,63.75,2.13,0.974,0.1158,22,29,260,16,247,864,5,396,161,0,vanilla,mnist,30,5,False
10,2000,30,61.07,2.04,0.999,0.0058,65,2,2,86,117,363,201,387,349,428,vanilla,mnist,30,5,False
11,2000,30,63.52,2.12,0.9985,0.0031,25,22,228,323,96,94,6,125,585,496,vanilla,mnist,30,5,False
12,2000,30,59.88,2.0,0.9925,0.0314,339,97,468,129,118,419,0,202,227,1,vanilla,mnist,30,5,False
13,2000,30,63.45,2.12,0.986,0.0506,283,54,10,271,101,244,30,457,466,84,vanilla,mnist,30,5,False
14,2000,30,64.78,2.16,0.999,0.0027,0,85,9,11,139,5,15,783,86,867,vanilla,mnist,30,5,False
15,2000,30,64.43,2.15,0.983,0.1712,36,30,7,49,53,1272,4,502,30,17,vanilla,mnist,30,5,False
16,2000,30,61.14,2.04,0.9585,0.3303,5,1,625,1003,3,36,52,194,0,81,vanilla,mnist,30,5,False
17,2000,30,61.66,2.06,0.9545,0.1513,751,4,218,35,0,17,63,171,592,149,vanilla,mnist,30,5,False
18,2000,30,63.51,2.12,0.999,0.0077,93,8,33,105,206,35,481,462,241,336,vanilla,mnist,30,5,False
19,2000,30,64.33,2.14,0.997,0.016,337,5,1130,34,51,27,162,21,192,41,vanilla,mnist,30,5,False
20,2000,30,64.94,2.16,0.998,0.0065,45,124,334,103,429,268,278,64,11,344,vanilla,mnist,30,5,False
21,2000,30,62.71,2.09,0.993,0.0253,797,176,211,436,57,0,110,91,42,80,vanilla,mnist,30,5,False
22,2000,30,66.32,2.21,0.998,0.0097,68,738,70,112,41,0,196,251,123,401,vanilla,mnist,30,5,False
23,2000,30,63.75,2.12,1.0,0.0017,229,267,330,325,239,0,261,228,37,84,vanilla,mnist,30,5,False
24,2000,30,65.06,2.17,0.9855,0.0592,27,620,1,602,86,0,95,321,131,117,vanilla,mnist,30,5,False
25,2000,30,61.59,2.05,0.978,0.1057,193,28,8,24,1097,0,367,197,22,64,vanilla,mnist,30,5,False
26,2000,30,63.59,2.12,0.999,0.0027,379,304,182,197,562,0,244,0,0,132,vanilla,mnist,30,5,False
27,2000,30,60.37,2.01,0.999,0.0059,0,408,280,230,526,0,319,0,0,237,vanilla,mnist,30,5,False
28,2000,30,63.56,2.12,1.0,0.0001,0,630,312,460,205,0,393,0,0,0,vanilla,mnist,30,5,False
29,2000,30,58.3,1.94,0.9995,0.0008,0,636,353,111,496,0,404,0,0,0,vanilla,mnist,30,5,False
