client_id,data_size,training_rounds,total_training_time,avg_time_per_round,final_accuracy,final_loss,class_0,class_1,class_2,class_3,class_4,class_5,class_6,class_7,class_8,class_9,experiment_type,dataset,total_rounds,local_epochs,iid
0,1500,4,27.64,6.91,0.9013,19.1267,80,378,13,1,215,0,635,18,53,107,vanilla,mnist,4,5,False
1,1500,4,9.14,2.28,0.7147,1.419,575,391,75,19,11,3,254,102,13,57,vanilla,mnist,4,5,False
2,1500,4,9.18,2.3,0.852,0.5108,248,5,53,0,4,75,148,0,938,29,vanilla,mnist,4,5,False
3,1500,4,10.05,2.51,0.5487,1.8567,56,263,390,0,1,229,42,92,340,87,vanilla,mnist,4,5,False
4,1500,4,9.65,2.41,0.9687,0.5553,1,10,447,78,9,47,388,2,518,0,vanilla,mnist,4,5,False
5,1500,4,9.84,2.46,0.784,0.8679,0,510,77,225,29,82,16,121,176,264,vanilla,mnist,4,5,False
6,1500,4,8.98,2.25,0.8607,0.4701,28,294,3,10,1,134,26,497,254,253,vanilla,mnist,4,5,False
7,1500,4,8.91,2.23,0.3467,2.0469,520,145,87,349,56,39,25,62,90,127,vanilla,mnist,4,5,False
8,1500,4,9.12,2.28,0.4173,1.749,44,89,3,626,62,74,203,38,39,322,vanilla,mnist,4,5,False
9,1500,4,9.29,2.32,0.8527,0.4756,103,0,27,233,11,69,178,5,1,873,vanilla,mnist,4,5,False
10,1500,4,9.97,2.49,0.3053,1.8723,100,177,316,6,269,458,122,17,2,33,vanilla,mnist,4,5,False
11,1500,4,10.58,2.65,0.6393,0.9827,73,241,32,105,176,0,63,149,158,503,vanilla,mnist,4,5,False
12,1500,4,9.47,2.37,0.9287,7.512,10,549,62,39,0,77,576,147,36,4,vanilla,mnist,4,5,False
13,1500,4,9.91,2.48,0.9507,1.3296,3,1034,13,107,101,1,0,25,53,163,vanilla,mnist,4,5,False
14,1500,4,12.32,3.08,0.3567,1.9446,168,78,88,199,204,113,0,51,64,535,vanilla,mnist,4,5,False
15,1500,4,9.91,2.48,0.7733,1.3389,210,69,289,38,2,457,28,317,8,82,vanilla,mnist,4,5,False
16,1500,4,10.82,2.71,0.87,0.4882,45,8,0,1,42,36,23,303,613,429,vanilla,mnist,4,5,False
17,1500,4,11.99,3.0,0.3467,1.8561,453,66,26,3,127,94,3,38,520,170,vanilla,mnist,4,5,False
18,1500,4,10.97,2.74,0.9,1.1742,129,83,46,16,4,737,10,33,50,392,vanilla,mnist,4,5,False
19,1500,4,9.38,2.35,0.6653,1.7184,50,41,496,34,0,309,63,130,265,112,vanilla,mnist,4,5,False
20,1500,4,9.44,2.36,0.2567,1.8583,32,257,1,96,13,263,385,1,117,335,vanilla,mnist,4,5,False
21,1500,4,9.54,2.38,0.6587,1.2932,806,139,40,86,100,143,37,68,56,25,vanilla,mnist,4,5,False
22,1500,4,10.19,2.55,0.8507,0.5739,209,375,14,83,70,11,419,1,315,3,vanilla,mnist,4,5,False
23,1500,4,11.57,2.89,0.8947,3.2983,525,1,243,5,21,126,4,43,357,175,vanilla,mnist,4,5,False
24,1500,4,10.09,2.52,0.868,2.1495,88,2,916,209,9,63,149,20,44,0,vanilla,mnist,4,5,False
25,1500,4,9.04,2.26,0.8713,40.1238,18,670,343,98,1,159,91,19,4,97,vanilla,mnist,4,5,False
26,1500,4,9.31,2.33,0.8633,34.2934,417,212,110,37,59,114,304,129,27,91,vanilla,mnist,4,5,False
27,1500,4,9.68,2.42,0.844,0.572,235,5,128,375,325,167,16,10,235,4,vanilla,mnist,4,5,False
28,1500,4,11.14,2.78,0.728,0.8904,83,16,462,478,20,127,65,36,213,0,vanilla,mnist,4,5,False
29,1500,4,12.47,3.12,0.8,0.9472,30,320,469,92,2,234,295,26,10,22,vanilla,mnist,4,5,False
30,1500,4,10.47,2.62,0.952,5.01,105,2,78,44,38,0,1049,157,0,27,vanilla,mnist,4,5,False
31,1500,4,10.21,2.55,0.788,35.0756,24,6,70,0,695,251,356,7,0,91,vanilla,mnist,4,5,False
32,1500,4,9.63,2.41,0.7493,1.3504,252,18,0,80,502,50,137,180,112,169,vanilla,mnist,4,5,False
33,1500,4,9.47,2.37,0.882,20.5491,3,277,180,6,436,36,372,57,105,28,vanilla,mnist,4,5,False
34,1500,4,9.37,2.34,0.874,0.7855,310,5,0,18,19,440,57,44,7,600,vanilla,mnist,4,5,False
35,1500,4,9.73,2.43,0.7387,1.3214,71,128,58,229,172,519,64,213,7,39,vanilla,mnist,4,5,False
36,1500,4,9.52,2.38,0.8207,11.7385,145,158,4,26,395,639,59,33,5,36,vanilla,mnist,4,5,False
37,1500,4,10.92,2.73,0.9367,3.3378,1,9,275,36,260,162,0,733,6,18,vanilla,mnist,4,5,False
38,1500,4,12.67,3.17,0.45,1.8525,171,83,29,274,6,14,32,372,514,5,vanilla,mnist,4,5,False
39,1500,4,10.51,2.63,0.8087,2.003,363,116,135,0,7,26,346,460,11,36,vanilla,mnist,4,5,False
